User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Germán A. Quimbayo R.,@gquimbayo,2021-05-21T08:37:02.000Z,to is good Please also do similar statement the situation of state violence and police brutality in over the past month,0,0,0
Gwarzo,@Gwarzo18,2021-05-21T08:34:32.000Z,to and who kill their own in order to breakaway who burn public property and to protest police brutality nation treasury own people for ransom bomb own people in the name God have no brain whether they live in the desert or near ocean,0,0,0
Michael Starr,@Starrlord89,2021-05-21T08:34:26.000Z,Where are all the anti now They been and as the cause of police brutality of stealing money of the media They and political violence How this made Quote Tweet Pro scream in to and screaming on the street Unbelievable,1,0,0
Meesha,@pmishalini,2021-05-21T08:34:06.000Z,How Many More Custodial Death Another Custodial Death Taken Place At The same Station Where Was How Many Do We Have To Lost To Be Finally Be Freed From Injustice We Need To Change This And Stop Police Brutality,0,0,4
END SARS AND END POLICE BRUTALITY YOU CUNTS!,@1705ISLEGENDARY,2021-05-21T08:31:52.000Z,People think loving all is Gay damn want my to come up and ball hard see them winning be loving my till the end Stay true to what you believe in love my,0,0,0
Gabby,@Gabby7503,2021-05-21T08:29:12.000Z,to Debunk the All Matter Shout Police Brutality Fund Shout Holocaust Fund Military,0,0,0
Cassius,@dayglow_23,2021-05-21T08:26:09.000Z,for concern The police force needs to be accountable for this until then are never going to feel safe,0,0,2
Cassius,@dayglow_23,2021-05-21T08:26:07.000Z,Police brutality misconduct been upon for long time now and yet there step for change in the system so disappointed that there enough uproar regarding police brutality faced by in You need Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,1,4,4
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T08:23:09.000Z,to is pity that these are taking place in so democratic am still wondering of what is really about these If people to vote is only what democracy then it is useless to the,0,0,0
END POLICE BRUTALITY!!!,@Mz_Elixir,2021-05-21T08:22:21.000Z,to go submit old phone use new one wey we never submit Dey curse them,1,0,1
MakeUcRyBabae,@UcBabae,2021-05-21T08:21:38.000Z,to and that album include an apology for his limited and ignorant stance on police brutality the murder of unarmed Black men,0,0,0
End Police Brutality,@Stop_Killin_Us,2021-05-21T08:19:29.000Z,to and said it all have cockroach brain normal human being would know it was typo,0,0,0
Tᴜʀᴋᴇʏ NEWS,@Tr__News,2021-05-21T08:17:07.000Z,police in past Ya ar recent report by police brutality entity Foundation revealed that police some in the past included,0,0,0
bear is amir is with,@amirakramkhalid,2021-05-21T08:16:31.000Z,to and slowly becoming US police brutality is real the one who involved need to punish,0,0,0
orangjahatsemuababi,@nizam398f,2021-05-21T08:14:47.000Z,orang talk about police brutality in ni,0,1,0
Head Butch In Charge,@sharkcloset,2021-05-21T08:14:47.000Z,If you claim to be an abolitionist or advocate against police brutality and are pro got some big for you,1,0,0
Syed Farhan #FreePalestine,@SyedFfarhan,2021-05-21T08:12:16.000Z,to in about Police brutality in fact our stupid cinema glorify Police misuse of power as result of this the community poor section of continue to suffer these news don make much difference this needs to be,0,0,2
